Date	Total	Monthly
2012-02	0	0
2012-03	2	2
2012-04	2	0
2012-05	2	0
2012-06	4	2
2012-07	8	4
2012-08	18	10
2012-09	37	19
2012-10	54	17
2012-11	71	17
2012-12	87	16
2013-01	107	20
2013-02	137	30
2013-03	166	29
2013-04	199	33
2013-05	233	34
2013-06	262	29
2013-07	331	69
2013-08	374	43
2013-09	416	42
2013-10	472	56
2013-11	513	41
2013-12	559	46
2014-01	610	51
2014-02	668	58
2014-03	727	59
2014-04	805	78
2014-05	883	78
2014-06	967	84
2014-07	1054	87
2014-08	1135	81
2014-09	1212	77
2014-10	1303	91
2014-11	1394	91
